Start Date,Currency,Campaign Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Conversion Rate
"Dec 12, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,"17"" shipping bags for small business",2,1,50.0000%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 01, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,black bubble shipping bags for small business,3,1,33.3333%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 07, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,bright color shipping bags for small business,2,1,50.0000%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 29, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,camo shipping bags for small business,1,1,100.0000%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 03, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,pretty shipping bags for small business,2,1,50.0000%,$0.80,$0.80,$14.99,5.3369%,18.74,1,100.0000%
"Dec 30, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,shipping bags for small business,19,1,5.2632%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 16, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,shipping bags for small business 8x10,1,1,100.0000%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 05, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,shipping bags for small business with bubble wrap,3,1,33.3333%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 09, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,thank you shipping bags for small business,4,1,25.0000%,$0.80,$0.80,$0.00,,0.00,0,0.0000%
"Dec 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for small business,PHRASE,unique shipping bags for small business,1,1,100.0000%,$0.65,$0.65,$0.00,,0.00,0,0.0000%
"Dec 02, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,50 count colorful poly mailers 10x13,1,1,100.0000%,$1.04,$1.04,$0.00,,0.00,0,0.0000%
"Dec 29, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,biodegradable poly mailers 10x13,1,1,100.0000%,$0.90,$0.90,$0.00,,0.00,0,0.0000%
"Dec 12, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,black poly mailers 10x13,2,1,50.0000%,$1.04,$1.04,$0.00,,0.00,0,0.0000%
"Dec 30, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,boho poly mailers 10x13,4,1,25.0000%,$0.89,$0.89,$0.00,,0.00,0,0.0000%
"Dec 09, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,bubble poly mailers 10x13,8,1,12.5000%,$1.04,$1.04,$0.00,,0.00,0,0.0000%
