Start Date,Currency,Campaign Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Conversion Rate,,,,,,
"Nov 23, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,poly mailers 10x13,637,12,1.8838%,$1.01,$12.06,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 23, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,50 magenta compostable shipping bags,1,1,100.0000%,$0.82,$0.82,$14.99,5.4703%,18.28,1,100.0000%,,,,,,
"Nov 23, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,EXACT,shippings bags,3,1,33.3333%,$0.77,$0.77,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 24, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,EXACT,poly mailers 10x13,1005,3,0.2985%,$1.01,$3.03,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 24, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags for clothing,EXACT,shipping bags for clothing,422,2,0.4739%,$0.82,$1.64,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 24, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,eco friendly shipping bags,2,1,50.0000%,$0.65,$0.65,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 24, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,padded shipping bags,1,1,100.0000%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 24, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,EXACT,shipping bags,565,5,0.8850%,$0.82,$4.10,$14.99,27.3516%,3.66,1,20.0000%,,,,,,
"Nov 26, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,cute poly mailers 10x13,2,1,50.0000%,$1.04,$1.04,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 26, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,clothing shipping bags,12,1,8.3333%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 26, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,poly shipping bag 6,15,1,6.6667%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 26, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,poly shipping bags 10x13,2,1,50.0000%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,padded poly mailers 10x13,1,1,100.0000%,$1.04,$1.04,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,10.26x10.26 shipping bags,1,1,100.0000%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,large shipping bags,74,1,1.3514%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,polymer shipping bags,26,1,3.8462%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,shipping bags 13x17,1,1,100.0000%,$0.82,$0.82,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 28, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,shipping bags,PHRASE,shipping bags for small business,10,1,10.0000%,$0.55,$0.55,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 29, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,PHRASE,christmas poly mailers 10x13,15,1,6.6667%,$1.04,$1.04,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 29, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,poly mailers 10x13,EXACT,poly mailer 10x13,67,1,1.4925%,$1.01,$1.01,$0.00,,0.00,0,0.0000%,,,,,,
"Nov 29, 2021",USD,Manual Campaign 3- 8/30/2021 09:48:25,polymailers10x13,PHRASE,polymailers10x13,33,1,3.0303%,$0.80,$0.80,$0.00,,0.00,0,0.0000%,,,,,,
