Date,Transaction type,Order ID,Product Details,Total product charges,Amazon fees,Total (USD),,,,,,,,,,,,
2021-11-05,Order Payment,112-9065293-0494606,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-06,Order Payment,111-0427216-8602659,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-07,Service Fees,---,FBA Inventory Storage Fee,0,-72.61,-72.61,,Summary of 3 moths' sales and fees,,,,,,,,,,
2021-11-07,Order Payment,112-9747578-8944230,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,Sum of Total product charges,Sum of Amazon fees,Sum of Total (USD),,,,,,,,
2021-11-07,Service Fees,---,Subscription Fee:,0,-45.19,-45.19,,1770.82,-1185.3,583.1,,,,,,,,
2021-11-09,Order Payment,112-6479273-4726651,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-10,Order Payment,112-9730212-8053017,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-11,Order Payment,113-7324160-8345824,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-14,Order Payment,111-6721873-0108269,CARBUN 50 pcs 10 x 13 inches Premium Col...,44.97,-22.48,22.49,,,,,,,,,,,,
2021-11-14,Order Payment,114-4524970-1749030,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-15,Order Payment,111-1545610-1493052,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-16,Order Payment,113-7913302-5905819,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-16,Order Payment,111-5596811-9321821,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-17,Order Payment,114-0429638-9142629,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-17,Order Payment,112-5492423-0749057,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,Total sales/profit in November,,159.67,,,,,,,,
2021-11-17,Order Payment,111-5871780-7980269,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,Total sales/profit in December,,228.2,,,,,,,,
2021-11-18,Order Payment,112-0619854-5598655,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,Total sales/profit in January,,195.23,,,,,,,,
2021-11-18,Order Payment,111-4916480-5336244,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,Sales in 3 Months,,583.1,,,,,,,,
2021-11-19,Order Payment,114-7706328-5706612,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-20,Order Payment,114-4237141-0877065,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-20,Order Payment,111-4397281-1852221,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-20,Order Payment,112-8351548-7767433,CARBUN 50 pcs 10 x 13 inches Premium Col...,29.98,-14.99,14.99,,,,,,,,,,,,
2021-11-22,Order Payment,111-7495145-8545819,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-22,Order Payment,113-3748705-2927400,CARBUN 50 pcs 10 x 13 inches Premium Col...,29.98,-14.99,14.99,,,,,,,,,,,,
2021-11-22,Order Payment,113-9074395-6232215,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-23,Order Payment,113-9613107-4771430,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-23,Order Payment,111-9246235-2809022,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-26,Order Payment,111-1736844-1589025,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-26,Order Payment,113-9609919-5517828,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-26,Order Payment,114-4662933-2743429,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-26,Order Payment,113-0791330-3266603,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-27,Order Payment,111-5952970-3044203,Carbun 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-28,Order Payment,111-4987595-4893831,Carbun 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-11-29,Order Payment,111-0901030-9140206,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-16.94,7.5,,,,,,,,,,,,
2021-11-30,Order Payment,114-6782225-2857822,Carbun 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2021-12-03,Order Payment,113-2054215-6237805,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-03,Order Payment,111-8417427-3167410,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-04,Order Payment,112-3423416-6441858,CARBUN 50 pcs 10 x 13 inches Premium Col...,29.98,-14.99,14.99,,,,,,,,,,,,
2021-12-05,Order Payment,111-4385728-2643408,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-05,Order Payment,111-2267594-7912261,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-05,Order Payment,114-3192820-1385806,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-05,Order Payment,114-1767319-5849012,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-06,Service Fees,---,Subscription Fee:,0,-45.19,-45.19,,,,,,,,,,,,
2021-12-06,Order Payment,113-6268393-9637050,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-06,Order Payment,114-6294949-7156241,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-07,Service Fees,---,FBA Inventory Storage Fee,0,-65.6,-65.6,,,,,,,,,,,,
2021-12-07,Order Payment,113-0465656-9341052,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-08,Order Payment,114-0564965-6851432,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-08,Order Payment,111-6489687-5250601,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-08,Order Payment,111-8319374-6634648,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-09,Order Payment,113-2625916-5329051,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-09,Order Payment,113-1043269-9668256,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-10,Order Payment,114-2033782-4506637,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-10,Other,---,Other,0,0,-9.49,,,,,,,,,,,,
2021-12-11,Refund,114-3192820-1385806,CARBUN 50 pcs 10 x 13 inches Premium Col...,-14.99,2.03,-12.96,,,,,,,,,,,,
2021-12-11,Order Payment,111-4749093-3461842,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-12,Order Payment,111-9711909-9548221,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-12,Order Payment,111-9468593-4109811,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-12,Order Payment,111-2759225-3323456,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-13,Order Payment,114-6734487-1824269,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-13,Order Payment,112-6365735-3730628,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-14,Order Payment,114-4813671-3097022,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-15,Order Payment,114-2218054-3989830,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-15,Order Payment,111-3239620-6140237,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-15,Order Payment,113-8772486-9163450,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-13.48,7.5,,,,,,,,,,,,
2021-12-15,Order Payment,111-8167608-0728209,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-15,Other,---,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
2021-12-15,Order Payment,112-4955306-3252259,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-16,Order Payment,112-5850502-4500230,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-18,Order Payment,112-6571115-9798665,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-18,Other,---,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
2021-12-18,Other,---,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
2021-12-18,Order Payment,112-8105554-6952222,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-18,Order Payment,114-8860951-0257024,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-19,Order Payment,113-6184604-8900240,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-19,Order Payment,114-8459836-2435460,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-20,Order Payment,111-4413011-6844259,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-20,Order Payment,112-3940354-1800234,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-20,Other,114-1356631-6663444,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
2021-12-20,Order Payment,111-2186350-5965004,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-20,Other,---,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
2021-12-21,Order Payment,114-3546292-4007448,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-21,Order Payment,111-7469783-6001841,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-10.47,7.5,,,,,,,,,,,,
2021-12-24,Order Payment,112-4349835-2805865,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-27,Order Payment,113-5540201-5921065,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2021-12-28,Order Payment,111-8267645-5299458,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2021-12-30,Order Payment,112-4085528-6267412,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-01,Order Payment,112-4127318-2782643,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-05,Order Payment,112-7550761-2983430,CARBUN 50 pcs 10 x 13 inches Premium Col...,15.99,-7.66,8.33,,,,,,,,,,,,
2022-01-06,Service Fees,---,Subscription Fee:,0,-45.19,-45.19,,,,,,,,,,,,
2022-01-07,Service Fees,---,FBA Inventory Storage Fee,0,0,-58.09,,,,,,,,,,,,
2022-01-07,Order Payment,114-4899116-3123454,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-07,Order Payment,114-3695893-8036223,CARBUN 50 pcs 10 x 13 inches Premium Col...,29.98,-14.99,14.99,,,,,,,,,,,,
2022-01-07,Order Payment,112-9821226-2684253,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-07,Order Payment,112-1859326-8947433,CARBUN 50 pcs 10 x 13 inches Premium Col...,15.99,-7.66,8.33,,,,,,,,,,,,
2022-01-09,Order Payment,112-8177565-9105005,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-09,Order Payment,111-3089867-5943434,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-09,Order Payment,111-7350699-5809045,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-11,Order Payment,111-5775694-1950639,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-12,Order Payment,112-7047785-1266624,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-12,Order Payment,112-0141170-7965841,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-13,Order Payment,113-2093435-5857038,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-14,Order Payment,114-8548766-8118668,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-16,Order Payment,112-7770449-1170601,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-16,Order Payment,114-6140975-2925048,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-16,Order Payment,114-3298776-6217040,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-16,Order Payment,114-7452422-4145039,CARBUN 50 pcs 10 x 13 inches Premium Col...,14.99,-7.49,7.5,,,,,,,,,,,,
2022-01-16,Other,---,FBA Inventory Reimbursement,0,0,7.79,,,,,,,,,,,,
